No,Palabra clave,Volumen,CPC,Dificultad pagada,Dificultad SEO
1,cafe near me,2740000,0.39,21,47
2,catering restaurants,14800,3.36,43,73
3,sunday brunch,14800,0.93,20,43
4,potato breakfast,40500,0.39,43,50
5,restaurant for breakfast near me,1000000,1.18,20,41
6,brunch,1220000,0.41,7,42
7,lunch restaurants near me,74000,0.73,33,38
8,catering breakfast near me,18100,5.52,64,30
9,brunch places,49500,0.65,18,36
10,lunch menu,49500,0.54,5,38
11,saturday brunch,4400,0.96,27,19
12,catering,135000,6.76,25,69
13,haitian restaurant,33100,0.51,6,27
14,breakfast,3350000,0.57,15,46
15,brunch restaurants near me,40500,0.46,24,39
16,breakfast cafe near me,49500,0.55,26,44
17,lunch restaurant near me,60500,0.49,46,43
18,eggs for breakfast,74000,0.17,1,42
19,breakfast sandwich,135000,0.55,35,52
20,catering lunch near me,8100,8.41,63,26
21,vegan breakfast near me,60500,0.43,25,40
22,breakfast near me vegan,60500,0.54,18,79
23,breakfast spots near me,90500,0.56,28,36
24,catering near me,135000,4.2,61,45
25,lunch places near me,135000,0.81,27,38
26,restaurants breakfast,40500,0.6,9,71
27,lunch specials near me,165000,0.96,33,40
28,lunch healthy,40500,1.27,45,44
29,breakfast near me pancakes,246000,0.53,28,26
30,catering food near me,27100,3.51,48,76
31,lunch restaurants,90500,0.47,4,22
32,good for lunch near me,135000,1.045,21,41
33,vegan breakfast food near me,60500,1.975,11,27
34,brunch cafe,33100,0.49,2,43
35,haitian restaurant nj,320,0.55,6,20
36,breakfast sausage,40500,0.4,99,49
37,breakfast with steak and eggs,40500,0.78,2,44
38,restaurant with breakfast near me,823000,0.7,27,84
39,breakfast places,110000,0.63,18,32
40,cafes for breakfast,40500,0.49,4,16
41,best for lunch near me,165000,0.96,18,40
42,tacos for breakfast,60500,0.85,14,48
43,cafe woodbridge,320,0.31,14,19
44,sausage for breakfast,40500,0.895,99,55
45,cafe and breakfast,49500,1.29,3,28
46,lunch places,27100,1.02,15,23
47,breakfast cafe,33100,0.47,2,49
48,good breakfast near me,60500,0.58,28,45
49,best breakfast near me,246000,0.49,28,38
50,brunch in woodbridge nj,320,0.79,22,21
51,steak and eggs breakfast,40500,0.65,5,31
52,breakfast food near me,110000,0.68,35,47
53,catering restaurants near me,27100,3.02,38,49
54,breakfast shop near me,40500,0.53,33,17
55,brunch restaurant,60500,0.56,4,55
56,cafe near me breakfast,49500,1.465,16,24
57,sandwich for breakfast,165000,1.245,39,54
58,breakfast foods,90500,0.65,14,62
59,breakfast shops near me,49500,0.55,26,51
60,catering menu,6600,3.29,32,19
61,taco for breakfast,74000,2.04,7,38
62,breakfast sandwich near me,301000,0.49,35,37
63,brunch restaurants,110000,0.45,2,44
64,sunday brunch nearby,9900,0.9,7,18
65,catering food,18100,5.89,52,63
66,lunch spots near me,90500,0.76,27,39
67,breakfast restaurants,450000,0.45,7,31
68,brunch cafe menu,880,1.11,1,24
69,catering breakfast,12100,3.85,47,36
70,brunch sunday near me,40500,0.84,17,23
71,brunch places near me,201000,0.56,28,39
72,lunch,1000000,0.63,13,51
